hdi_rank,country,hdi,phdi,pct_diff_hdi,rank_diff_hdi,adj_factor,tco2_per_capita_prod,co2_emissions_index,material_footprint_per_capita,material_footprint_index,iso3c
155,Timor-Leste,0.566,NA,NA,NA,NA,0.502444468,0.9934415289387808,NA,NA,TLS
156,Solomon Islands,0.562,NA,NA,NA,NA,0.426699969,0.9944302314449811,NA,NA,SLB
157,Syrian Arab Republic,0.557,NA,NA,NA,NA,1.276342693,0.9833397377235347,NA,NA,SYR
158,Haiti,0.552,0.546,1.0869565217391353,1,0.9890905142909939,0.211870311,0.997234430087456,2.6831,0.980946598494532,HTI
159,Uganda,0.55,0.543,1.2727272727272698,1,0.9874821094182252,0.132002209,0.9982769585041118,3.2829,0.9766872603323392,UGA
159,Zimbabwe,0.55,0.541,1.6363636363636358,0,0.9832844121383952,0.524974984,0.9931474352695471,3.7428,0.9734213890072434,ZWE
161,Nigeria,0.548,0.539,1.642335766423364,-1,0.982947536108297,0.614401064,0.9919801453596137,3.6733,0.9739149268569804,NGA
161,Rwanda,0.548,0.541,1.2773722627737238,2,0.9871295936550304,0.115399861,0.998493671048166,3.4127,0.97576551626189445,RWA
163,Togo,0.547,0.541,1.0968921389396755,4,0.989314875628852,0.295656513,0.996140758216943,2.4659,0.9824889930407612,TGO
164,Mauritania,0.54,0.52,3.703703703703709,-1,0.9638578912056404,0.965357551,0.9873990660357655,8.4046,0.9403167163755148,MRT
164,Pakistan,0.54,0.528,2.222222222222225,1,0.9786263286677795,0.9656389620000002,0.9873953927424618,4.2447,0.9698572645930976,PAK
166,Côte d'Ivoire,0.534,NA,NA,NA,NA,0.4268649,0.9944280785798199,NA,NA,CIV
167,Tanzania (United Republic of),0.532,0.525,1.3157894736842146,2,0.9863301865595496,0.24245485,0.9968352062393944,3.4043,0.9758251668797043,TZA
168,Lesotho,0.521,NA,NA,NA,NA,1.087245239,0.9858080506591828,NA,NA,LSO
169,Senegal,0.517,0.503,2.7079303675048405,0,0.973278579558236,0.683799933,0.9910742731627725,6.2689,0.9554828859536997,SEN
170,Sudan,0.516,0.506,1.9379844961240345,2,0.9815882986453344,0.485910197,0.9936573528651613,4.2923,0.9695192444255075,SDN
171,Djibouti,0.515,0.493,4.27184466019418,-1,0.956442144822324,0.411412528,0.994629780341992,11.5114,0.9182545093026558,DJI
172,Malawi,0.508,0.501,1.3779527559055094,2,0.9859303417619194,0.104496076,0.9986359995300874,3.7705,0.9732246839937507,MWI
173,Benin,0.504,0.494,1.984126984126988,2,0.9799327337684756,0.639583531,0.9916514354392376,4.4761,0.9682140320977134,BEN
174,Gambia,0.495,0.489,1.2121212121212088,1,0.9877896687400761,0.2867667,0.9962567980681373,2.9118,0.9793225394120152,GMB
175,Eritrea,0.493,0.487,1.2170385395537495,1,0.9877353026328893,0.193472275,0.9974745819736325,3.0986,0.977996023292146,ERI
176,Ethiopia,0.492,0.485,1.4227642276422814,1,0.9859305299094737,0.157292351,0.9979468430883696,3.6734,0.973914216730578,ETH
177,Liberia,0.487,0.482,1.0266940451745366,0,0.9907156391568056,0.166607104,0.9978252564417177,2.3086,0.9836060218718929,LBR
177,Madagascar,0.487,0.483,0.8213552361396314,1,0.9919587765894157,0.147556758,0.9980739230126616,1.9935,0.9858436301661696,MDG
179,Guinea-Bissau,0.483,NA,NA,NA,NA,0.155794986,0.9979663883827176,NA,NA,GNB
180,Congo (Democratic Republic of the),0.481,0.477,0.8316008316008316,1,0.9924487391844272,0.041094283,0.9994635911369274,2.0512,0.9854338872319272,COD
181,Guinea,0.471,0.462,1.9108280254776957,1,0.9813057015823193,0.359690645,0.99530491260932,4.6039,0.9673064905553187,GIN
182,Afghanistan,0.462,0.459,0.6493506493506551,1,0.993807852782534,0.306318324,0.9960015882521864,1.1809,0.9916141173128816,AFG
183,Mozambique,0.461,0.456,1.0845986984815648,1,0.9883949796144224,0.22416011,0.9970740097898446,2.8564,0.9797159494390002,MOZ
184,Sierra Leone,0.458,0.452,1.3100436681222738,1,0.9878591173946638,0.131795192,0.9982796607231432,3.1771,0.9774385740661838,SLE
185,Burkina Faso,0.438,0.433,1.1415525114155225,0,0.9895268886085686,0.266000829,0.9965278576034461,2.4607,0.9825259196136912,BFA
186,Yemen,0.424,0.42,0.9433962264150941,0,0.9916399468345843,0.351346981,0.9954138235086801,1.7087,0.9878660701604887,YEM
187,Burundi,0.42,0.417,0.7142857142857117,0,0.9939022777659878,0.063739656,0.9991679982247748,1.6002,0.9886365573072007,BDI
188,Mali,0.41,0.404,1.4634146341463317,0,0.9862041079814454,0.316284199,0.9958715024278816,3.3041,0.9765367135350093,MLI
189,Chad,0.394,0.382,3.0456852791878157,-2,0.9694346927198093,0.143576096,0.9981258830962016,8.3445,0.940743502343417,TCD
189,Niger,0.394,0.389,1.2690355329949221,0,0.9867706707859539,0.120343462,0.9984291416003133,3.5047,0.9751121999715949,NER
191,Central African Republic,0.387,0.383,1.033591731266148,1,0.9886211053937535,0.045672158,0.9994038355567159,3.1208,0.9778383752307912,CAF
192,South Sudan,0.381,0.376,1.3123359580052507,0,0.9862370748542666,0.171581069,0.9977603306487405,3.5608,0.9747138190597926,SSD
193,Somalia,0.38,0.376,1.0526315789473717,1,0.9884406308731231,0.038125863,0.9995023382978722,3.1855,0.9773789234483737,SOM
NA,Korea (Democratic People's Rep. of),NA,NA,NA,NA,NA,1.976608651,0.9741990777835791,NA,NA,PRK
NA,Monaco,NA,NA,NA,NA,NA,NA,NA,NA,NA,MCO
NA,Very high human development,0.902,0.779,13.636363636363637,NA,0.863255561317835,9.536506404333409,0.8755187781708209,20.97884894310998,0.8510236547144584,NA
NA,High human development,0.764,0.691,9.554973821989533,NA,0.9040656317122093,5.537882801725822,0.9277133167768462,16.857044839780144,0.8802936739115171,NA
NA,Medium human development,0.64,0.622,2.8125000000000067,NA,0.9718006860561772,1.5930201994477302,0.9792061062596562,5.018153464247953,0.9643647673324248,NA
NA,Low human development,0.517,0.509,1.5473887814313358,NA,0.9846123511548329,0.4459931638340535,0.9941783949375533,3.5159347065851367,0.9750324193538904,NA
NA,Developing countries,0.694,0.652,6.051873198847257,NA,0.9396985258247949,3.466921552174352,0.9547458353716961,10.647377506411512,0.9243901611531635,NA
NA,Arab States,0.704,0.658,6.534090909090895,NA,0.934798240046017,4.580944834674155,0.9402043488490516,9.986162504377871,0.9290856234598932,NA
NA,East Asia and the Pacific,0.766,0.683,10.835509138381196,NA,0.8912852215637155,6.176974627944697,0.9193711705006563,19.282294224617065,0.86307133770333,NA
NA,Europe and Central Asia,0.802,0.743,7.356608478802995,NA,0.9266241293620284,5.305005822738461,0.9307530893781693,10.907875242369588,0.9225402979522115,NA
NA,Latin America and the Caribbean,0.763,0.716,6.15989515072084,NA,0.9389739065990051,2.630592099527247,0.9656625492817223,12.354311727723433,0.9122687705743258,NA
NA,South Asia,0.641,0.622,2.9641185647425905,NA,0.9704244421973568,1.8775642778773811,0.9754919164876988,4.882849948796451,0.965325593319156,NA
NA,Sub-Saharan Africa,0.549,0.539,1.821493624772319,NA,0.9818529437256035,0.726869078348799,0.9905120861721864,3.78697691973374,0.9731076770364029,NA
NA,Least developed countries,0.542,0.533,1.6605166051660514,NA,0.9840849934825188,0.35444406873576534,0.9953733968315394,3.833569384511968,0.9727768116424371,NA
NA,Small island developing states,0.73,NA,NA,NA,NA,2.6616169675801524,0.9652575777629533,NA,NA,NA
NA,Organisation for Economic Co-operation and Development,0.906,0.787,13.134657836644593,NA,0.8689303120559969,8.679584659507498,0.8867042858698929,20.961052935148352,0.8511500288655847,NA
NA,World,0.739,0.685,7.307171853856554,NA,0.9263658352537928,4.520334865150124,0.9409954984316652,12.470559703935145,0.9114432630028749,NA
